Month,Year,Precipitacion,Temp_Media,Flujo,Chapala,Calderon,Pozos,Manantiales,Total,PorcenChap,PorcenCal,PorcenPozo,PorcenMana,Poblacion_ZMG
6,2018,201.4,23.8,9.38,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
7,2018,147.8,23.3,9.29,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
8,2018,206.9,22.8,9.02,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
9,2018,201.6,22.6,9.03,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
10,2018,149.8,21.6,9.2,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
11,2018,75.9,18.6,9.43,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
12,2018,1.7,16.6,9.36,15653669.25,2954209.16666667,7353340.66666667,347773.333333333,26308992.4166667,0.594993111179866,0.112288951240686,0.279499136652924,0.0132188009265235,5091083
1,2019,8.4,17.3,9.4,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
2,2019,1.1,19.6,9.73,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
3,2019,0.1,21.4,10.01,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
