NPRODUCTO,CONCURSO,R4,BOLSA,FECHA
40,3058,12,30100000,42820
40,3057,29,30000000,42816
40,3056,19,110700000,42813
40,3055,36,108000000,42809
40,3054,34,104000000,42806
40,3053,43,101200000,42802
40,3052,40,97200000,42799
40,3051,48,93800000,42795
40,3050,36,90000000,42792
40,3049,30,87000000,42788
40,3048,37,83000000,42785
40,3047,21,80000000,42781
40,3046,29,76500000,42778
40,3045,40,73000000,42774
40,3044,37,69300000,42771
40,3043,21,66000000,42767
40,3042,42,63000000,42764
40,3041,25,60000000,42760
40,3040,43,56000000,42757
40,3039,36,52500000,42753
40,3038,36,49000000,42750
40,3037,41,45000000,42746
40,3036,42,40300000,42743
40,3035,23,38500000,42739
40,3034,49,34000000,42736
40,3033,33,30800000,42732
40,3032,20,30700000,42729
40,3031,33,30600000,42725
40,3030,28,30500000,42722
40,3029,25,30400000,42718
40,3028,26,30300000,42715
40,3027,34,30200000,42711
40,3026,27,30100000,42708
40,3025,31,30000000,42704
40,3024,22,384000000,42701
40,3023,45,379000000,42697
40,3022,40,374000000,42694
40,3021,34,370000000,42690
40,3020,22,365500000,42687
40,3019,35,361000000,42683
40,3018,21,356000000,42680
40,3017,37,352000000,42676
40,3016,47,347000000,42673
40,3015,37,342000000,42669
40,3014,29,337000000,42666
40,3013,44,333000000,42662
40,3012,25,329000000,42659
40,3011,28,325000000,42655
40,3010,25,320000000,42652
40,3009,22,316500000,42648
40,3008,26,312500000,42645
40,3007,29,309000000,42641
40,3006,26,304000000,42638
40,3005,46,300000000,42634
40,3004,47,295000000,42631
40,3003,21,292000000,42627
40,3002,39,287000000,42624
40,3001,39,283000000,42620
40,3000,39,277000000,42617
40,2999,21,273400000,42613
40,2998,38,269000000,42610
40,2997,28,265000000,42606
40,2996,45,259900000,42603
40,2995,31,256000000,42599
40,2994,33,251000000,42596
40,2993,31,247500000,42592
40,2992,30,242500000,42589
40,2991,44,238000000,42585
40,2990,33,234000000,42582
40,2989,41,230000000,42578
40,2988,33,226000000,42575
40,2987,43,222000000,42571
40,2986,15,218000000,42568
40,2985,26,213000000,42564
40,2984,25,209000000,42561
40,2983,36,205000000,42557
40,2982,47,200500000,42554
40,2981,18,196500000,42550
40,2980,29,192000000,42547
40,2979,32,188000000,42543
40,2978,30,183500000,42540
40,2977,29,180000000,42536
40,2976,43,176000000,42533
40,2975,28,172000000,42529
40,2974,24,167400000,42526
40,2973,24,164000000,42522
40,2972,31,160700000,42519
40,2971,30,157500000,42515
40,2970,32,153000000,42512
40,2969,38,149400000,42508
40,2968,15,145400000,42505
40,2967,17,142000000,42501
40,2966,33,137000000,42498
40,2965,5,133700000,42494
40,2964,31,129800000,42491
40,2963,35,125900000,42487
40,2962,42,121000000,42484
40,2961,37,117500000,42480
40,2960,19,113000000,42477
40,2959,15,110400000,42473
40,2958,29,107000000,42470
40,2957,20,103000000,42466
40,2956,50,98000000,42463
40,2955,47,95000000,42459
40,2954,31,90000000,42456
40,2953,40,86000000,42452
40,2952,44,82000000,42449
40,2951,39,78500000,42445
40,2950,34,74600000,42442
40,2949,42,71000000,42438
40,2948,16,67000000,42435
40,2947,17,64000000,42431
40,2946,38,59000000,42428
40,2945,26,56000000,42424
40,2944,20,52000000,42421
40,2943,23,48500000,42417
40,2942,42,44000000,42414
40,2941,38,40000000,42410
40,2940,48,35000000,42407
40,2939,33,34000000,42403
40,2938,29,33500000,42400
40,2937,50,33000000,42396
40,2936,45,32500000,42393
40,2935,31,31500000,42389
40,2934,43,31000000,42386
40,2933,40,30000000,42382
40,2932,39,124000000,42379
40,2931,43,119000000,42375
40,2930,16,115000000,42372
40,2929,30,110000000,42368
40,2928,32,107500000,42365
40,2927,38,102500000,42361
40,2926,28,98000000,42358
40,2925,38,93000000,42354
40,2924,32,88000000,42351
40,2923,21,85000000,42347
40,2922,21,80000000,42344
40,2921,40,76000000,42340
40,2920,35,71500000,42337
40,2919,38,68000000,42333
40,2918,18,64000000,42330
40,2917,49,59500000,42326
40,2916,18,55500000,42323
40,2915,34,52000000,42319
40,2914,25,48000000,42316
40,2913,30,44500000,42312
40,2912,28,40000000,42309
40,2911,37,38000000,42305
40,2910,25,37000000,42302
40,2909,30,36000000,42298
40,2908,33,35000000,42295
40,2907,25,34000000,42291
40,2906,37,33000000,42288
40,2905,45,32000000,42284
40,2904,36,31000000,42281
40,2903,24,30000000,42277
40,2902,27,546000000,42274
40,2901,25,541000000,42270
40,2900,20,535000000,42267
40,2899,33,530500000,42263
40,2898,33,524500000,42260
40,2897,25,521000000,42256
